country,region,trips_2024,trips_2025,trips_change_abs,trips_change_pct,nights_2024,nights_2025,nights_change_pct,spend_2024_m,spend_2025_m,spend_change_pct,total_trip_spend_2025_m,avg_nights_per_trip_2025,avg_spend_per_trip_2025,rank_2024,rank_2025,rank_change
New Zealand,Oceania,1259.51,1302.842,43.332,3.44,14804.307,15401.636,4.03,2063.758,2410.113,16.78,3667.079,11.82,1849.89,1,1,0
Japan,Asia,361.802,385.175,23.374,6.46,12931.018,14561.725,12.61,1434.939,1616.684,12.67,2327.02,37.81,4197.27,6,7,-1
Hong Kong,Asia,198.769,228.165,29.396,14.79,5248.663,6735.943,28.34,873.405,1127.792,29.13,1515.082,29.52,4942.88,10,9,1
Singapore,Asia,360.674,385.636,24.962,6.92,5445.531,5949.233,9.25,1088.36,1122.304,3.12,1647.699,15.43,2910.27,7,6,1
Malaysia,Asia,183.664,193.582,9.919,5.4,5292.225,5274.464,-0.34,685.117,704.852,2.88,932.871,27.25,3641.1,11,11,0
Indonesia,Asia,201.831,217.905,16.074,7.96,10339.702,9531.275,-7.82,998.048,976.201,-2.19,1215.448,43.74,4479.93,9,10,-1
Taiwan,Asia,149.308,174.946,25.638,17.17,9850.365,9514.763,-3.41,902.945,977.799,8.29,1291.422,54.39,5589.13,16,13,3
Thailand,Asia,89.714,91.237,1.523,1.7,5148.924,6063.645,17.77,456.784,459.881,0.68,580.02,66.46,5040.51,18,18,0
Vietnam,Asia,160.462,153.871,-6.591,-4.11,6524.666,7961.107,22.02,833.151,906.388,8.79,1130.314,51.74,5890.58,13,16,-3
Philippines,Asia,164.284,179.346,15.062,9.17,10856.817,10901.43,0.41,601.413,607.696,1.04,803.508,60.78,3388.4,12,12,0
Korea,Asia,342.28,362.551,20.27,5.92,11037.53,9377.055,-15.04,1571.147,1444.621,-8.05,2079.754,25.86,3984.61,8,8,0
China,Asia,828.997,974.386,145.389,17.54,45058.422,53413.947,18.54,8065.023,11246.266,39.44,13157.903,54.82,11541.89,2,2,0
India,Asia,420.98,429.17,8.19,1.95,28826.907,28355.199,-1.64,1660.193,1834.794,10.52,2544.861,66.07,4275.21,5,5,0
United States of America,North America,668.8,696.948,28.148,4.21,12063.175,12103.84,0.34,1992.599,2396.429,20.27,4616.71,17.37,3438.46,3,4,-1
Canada,North America,154.27,160.762,6.492,4.21,4505.852,5100.668,13.2,554.518,664.633,19.86,1135.771,31.73,4134.27,15,15,0
United Kingdom,Europe,604.677,720.911,116.233,19.22,21857.976,28128.264,28.69,2195.097,2870.21,30.76,5264.257,39.02,3981.37,4,3,1
Germany,Europe,159.31,169.412,10.102,6.34,6213.703,5741.177,-7.6,612.299,685.243,11.91,1201.233,33.89,4044.84,14,14,0
Scandinavia,Europe,82.333,86.412,4.079,4.95,3346.156,3066.45,-8.36,312.208,375.336,20.22,638.379,35.49,4343.56,19,19,0
France,Europe,121.835,138.584,16.749,13.75,9324.329,11342.264,21.64,680.446,924.5,35.87,1326.517,81.84,6671.05,17,17,0
Italy,Europe,63.485,74.217,10.732,16.9,4993.805,5006.72,0.26,348.366,401.387,15.22,615.557,67.46,5408.28,20,20,0
Netherlands,Europe,48.318,51.978,3.66,7.58,1711.316,1703.384,-0.46,194.003,214.88,10.76,376.402,32.77,4134.07,21,21,0
Switzerland,Europe,40.646,43.568,2.922,7.19,1366.194,1552.001,13.6,199.427,261.54,31.15,404.89,35.62,6003.06,22,22,0
