country,year,rank,trips,trips_2024,trips_2025,rank_2024,rank_2025,rank_change
New Zealand,2024,1,1259.51,1259.51,1302.842,1,1,0
New Zealand,2025,1,1302.842,1259.51,1302.842,1,1,0
China,2024,2,828.997,828.997,974.386,2,2,0
China,2025,2,974.386,828.997,974.386,2,2,0
United Kingdom,2024,4,604.677,604.677,720.911,4,3,1
United Kingdom,2025,3,720.911,604.677,720.911,4,3,1
United States of America,2024,3,668.8,668.8,696.948,3,4,-1
United States of America,2025,4,696.948,668.8,696.948,3,4,-1
India,2024,5,420.98,420.98,429.17,5,5,0
India,2025,5,429.17,420.98,429.17,5,5,0
Singapore,2024,7,360.674,360.674,385.636,7,6,1
Singapore,2025,6,385.636,360.674,385.636,7,6,1
Japan,2024,6,361.802,361.802,385.175,6,7,-1
Japan,2025,7,385.175,361.802,385.175,6,7,-1
Korea,2024,8,342.28,342.28,362.551,8,8,0
Korea,2025,8,362.551,342.28,362.551,8,8,0
Hong Kong,2024,10,198.769,198.769,228.165,10,9,1
Hong Kong,2025,9,228.165,198.769,228.165,10,9,1
Indonesia,2024,9,201.831,201.831,217.905,9,10,-1
Indonesia,2025,10,217.905,201.831,217.905,9,10,-1
Malaysia,2024,11,183.664,183.664,193.582,11,11,0
Malaysia,2025,11,193.582,183.664,193.582,11,11,0
Philippines,2024,12,164.284,164.284,179.346,12,12,0
Philippines,2025,12,179.346,164.284,179.346,12,12,0
