rank,region,state,trips_2024,nights_2024,expenditure_2024_m,trips_2025,nights_2025,expenditure_2025_m,avg_nights_per_trip
1,Sydney,New South Wales,3529.4,83589.264,10903.603,3819.858,88192.226,13733.866,23.09
2,Melbourne,Victoria,2551.991,70544.973,8401.086,2652.593,67877.162,8836.642,25.59
3,Destination Perth,Western Australia,812.857,25748.183,2268.353,1006.839,35638.108,2981.155,35.4
4,Brisbane,Queensland,1275.027,28073.49,3104.762,1328.129,27301.024,3563.445,20.56
5,Adelaide,South Australia,401.796,10974.131,1134.146,404.111,12402.824,1550.533,30.69
6,Gold Coast,Queensland,634.684,8021.29,1172.327,682.189,10285.171,1479.731,15.08
7,Tropical North Queensland,Queensland,543.294,5156.626,980.12,621.975,5896.141,1217.668,9.48
8,Canberra,Australian Capital Territory,214.663,5431.069,626.528,198.544,5613.726,586.799,28.27
9,North Coast NSW,New South Wales,292.326,3888.249,265.936,291.294,4606.869,326.591,15.82
10,Sunshine Coast,Queensland,314.353,3942.268,317.77,301.479,3663.846,475.453,12.15
11,Hunter,New South Wales,158.307,2945.969,216.622,155.57,3130.168,220.889,20.12
12,Darwin,Northern Territory,125.759,3461.457,235.099,143.447,3059.88,243.796,21.33
13,Queensland Country,Queensland,50.658,2183.988,107.537,41.707,2652.357,167.408,63.59
14,Australia's South West,Western Australia,138.541,2170.794,158.706,149.92,2650.887,192.577,17.68
15,Hobart and the South,Tasmania,211.186,2466.337,356.849,235.361,2542.902,507.789,10.8
16,South Coast,New South Wales,147.835,3106.034,273.517,143.991,2246.805,229.109,15.6
17,Geelong and the Bellarine,Victoria,73.518,1292.282,110.713,65.535,1928.364,218.494,29.42
18,Central NSW,New South Wales,40.863,1462.362,80.419,37.341,1838.675,142.303,49.24
19,Mallee,Victoria,25.554,1647.987,79.767,26.157,1426.922,65.674,54.55
20,Townsville,Queensland,107.944,1139.752,81.214,84.021,1393.668,105.571,16.59
